Name,Identity,Alignment,Gender,Status,Year
Katherine Hahn ,,,Female,Living,2002
Katherine Kiernan ,Public,Good,Female,Living,2012
Katherine McClellan ,Public,Good,Female,Living,1990
Katherine Petrezyn ,Secret,Bad,Female,Deceased,1992
Katherine Power ,Secret,Good,Female,Living,1984
Katherine Pryde ,Secret,Good,Female,Living,1980
Katherine Reynolds ,Public,,Female,Living,1974
Katherine Spar ,Public,Good,Female,Living,1998
Katherine Summers ,Public,Good,Female,Deceased,1977
Katherine Waynesboro ,Secret,Good,Female,Living,1983
Kathleen Dare ,,Bad,Female,Deceased,1988
Kathleen Neville ,Public,,Female,Living,1989
Kathleen O'Meara ,Public,Good,Female,Living,2001
Kathryn ,Public,Good,Female,Living,1999
Kathryn Cushing ,,,Female,Living,1985
Kathryn Twoyoungmen ,Public,Neutral,Female,Deceased,1983
Kathryn Worthington ,Public,Good,Female,Deceased,1965
Kathulos ,Secret,Bad,Male,Deceased,1973
Kathy Bohusk ,,Good,Female,Living,2005
Kathy Malper ,Public,,Female,Living,1991
Kathy Stewart ,,,Female,Living,1972
Katie Atkinson ,,Good,Female,Living,2005
Katie Sawyer ,Public,Good,Female,Living,2001
Katinka ,No Dual,,Female,Living,1991
Kativa ,Secret,Bad,Male,Deceased,1954
Katos ,No Dual,Neutral,Male,Living,1988
Katrinka Janice Clayton ,No Dual,,Female,Living,1979
Katsuo Sasaki ,Secret,Bad,Male,Living,1972
Katsuyori ,Public,Bad,Male,Deceased,1982
Katu Kath ,Secret,Bad,Male,Deceased,1993
Katy & Timothy Bashir ,Secret,Bad,Female,Deceased,2013
Katyusha ,Secret,Good,Female,Living,2000
Kaufman ,Secret,,Female,Living,2010
Kavita Rao ,No Dual,Good,Female,Living,2004
Kavor ,,Good,Male,Living,1973
Kay Destine ,,,Female,Living,
Kay Glayvor ,Secret,Good,Male,Living,1994
Kay-Sade ,,Bad,Male,Living,
Kayama Inouye ,Secret,,Male,Living,1991
Kayla Ballantine ,Public,Good,Female,Living,1989
Kaylie Doran ,Public,Good,Female,Living,2011
Kaz ,Secret,,Male,Living,2007
Kazantra ,,,Female,Living,1973
Kazimierz Kazimierczak ,Public,Bad,Male,Living,2013
Kearson DeWitt ,,Bad,Male,Living,1990
Keemia Alvarado ,Secret,Neutral,Female,Living,2010
Keep ,Public,Bad,Male,Living,2012
Keeper of the Flame ,No Dual,Bad,Male,Deceased,1966
Keeper of the Flash ,Secret,Bad,Male,Deceased,1944
Keerg ,Public,Bad,Male,Living,1998
Keeyah ,No Dual,Good,Male,Living,1995
Kehl ,Public,Bad,Male,Living,1985
Keitaro Ashida ,,,Male,Living,2005
Keith Chandler ,Public,Neutral,Male,Living,1993
Keith Dixon ,,Good,Male,Living,2006
Keith Jackson ,No Dual,Good,Male,Living,1976
Keith Kincaid ,Public,Good,Male,Living,1967
Keith Kraft ,Secret,Bad,Male,Living,1990
Keith Roberts ,Public,Good,Male,Living,1993
Keiv ,Public,,Male,Living,1985
Kelda ,Secret,Good,Female,Living,2008
Kell ,Public,,Female,Deceased,2012
Kellen ,,Bad,Male,Living,1986
Kelly ,No Dual,Neutral,Female,Living,2011
Kelly Kooliq ,Public,Bad,Female,Living,2000
Kelse Fenton ,Secret,Bad,Male,Living,1941
Kelsey Leigh ,Secret,Good,Female,Living,2004
Kelsey Riordan ,Secret,Bad,Male,Living,1947
Kemo ,Public,Neutral,Male,Deceased,1979
Ken Astor ,Secret,Good,Male,Deceased,1978
Ken Ellis ,Public,,Male,Living,1994
Ken Floyd ,,,Male,Living,2006
Ken Mack ,Secret,Good,Male,Deceased,2010
Ken Masters ,No Dual,Good,Male,Living,1939
Ken Urich ,Secret,Neutral,Male,Living,1995
Ken Wind ,Public,Bad,Male,Living,1986
Kendra Louise Price ,Secret,Neutral,Female,Deceased,1986
Keniuchio Harada ,Public,Neutral,Male,Deceased,1974
Kenji Oyama ,,Bad,Male,Deceased,1983
Kenji Uedo ,Public,Neutral,Male,Deceased,2011
Kenjiro Fujikawa ,No Dual,,Male,Living,1998
Kenjiro Sasaki ,Secret,,Male,Living,1991
Kenjiro Tanaka ,,Good,Male,Living,1989
Kenneth Anderson ,No Dual,,Male,Living,2005
Kenneth Barnett ,,Good,Male,Living,1982
Kenneth Bradley ,Public,Bad,Male,Deceased,1999
Kenneth Brown ,Secret,Bad,Male,Living,1945
Kenneth Crichton ,Secret,,Male,Deceased,1981
Kenneth Driscoll ,Public,Bad,Male,Deceased,
Kenneth Flogg ,,Bad,Male,Living,2002
Kenneth Hale ,Secret,Good,Male,Living,1954
Kenneth Krask ,Public,,Male,Living,1994
Kenneth Parmenter ,Secret,Good,Male,Living,1993
Kenneth Sjolin ,,,Male,Deceased,1993
Kenneth Stanton ,Secret,Bad,Male,Living,1947
Kenneth Sturdy ,,Bad,Male,Deceased,1977
Kenneth Tennyson ,Public,Good,Male,Living,2001
Kenneth Ward ,,Good,Male,Deceased,1969
Kenny Brown ,Public,,Male,Living,1994
Kenny Kramer ,,Good,Male,Living,2000
Kenny Roberts ,Public,Good,Male,Living,1942
Keno Barkerton ,Public,Bad,Male,Living,1964
Kent Blake ,Secret,Good,Male,Deceased,1951
Kerberos ,Public,Good,Male,Living,2006
Kerberos ,Public,Good,Male,Living,2006
Kerjos ,No Dual,,Male,Living,1989
Kermit Roosevelt ,No Dual,,Male,Living,2009
Kerry Patrick ,Public,Good,Male,Living,1990
Kerth ,Secret,,Male,Deceased,1995
Kerwin Broderick ,Public,Bad,Male,Living,1973
Kerwin Korman ,,Bad,Male,Living,1977
Kerwin Kronus ,Public,Bad,Male,Living,1976
Kerwin Kronus ,Public,Good,Male,Living,1976
Kerwin Stockwell ,Public,Neutral,Male,Living,2011
Kestrel ,Public,Bad,Female,Living,2004
Kevin ,Public,Good,Male,Living,2000
Kevin ,Public,Good,Male,Living,1986
Kevin Brackett ,Secret,Bad,Male,Living,1989
Kevin Brashear ,No Dual,Neutral,Male,Living,
Kevin Cole ,Secret,Good,Male,Living,2002
Kevin Connor ,Public,Good,Male,Living,2013
Kevin E. ,Public,Neutral,Male,Living,2006
Kevin Ford ,Secret,Bad,Male,Deceased,2003
Kevin Gill ,Secret,Bad,Male,Living,1997
Kevin Kennerman ,Public,,Male,Living,1973
Kevin Kraller ,Public,,Male,Living,1980
Kevin Krask ,Public,,Male,Living,1994
Kevin Leary ,Secret,Bad,Male,Living,1993
Kevin Leonardo ,Secret,Bad,Male,Living,1992
Kevin MacTaggert ,Secret,Bad,Male,Living,1979
Kevin Marlow ,Secret,,Male,Living,1941
Kevin Masterson ,Public,Good,Male,Living,1988
Kevin Matheson ,Public,Good,Male,Living,1981
Kevin O'Brien ,Secret,Bad,Male,Deceased,1970
Kevin Plunder ,Public,Good,Male,Living,1965
Kevin Smith ,,Bad,Male,Living,2004
Kevin Tremain ,Secret,Bad,Male,Deceased,1996
Kevin Trench ,Secret,Good,Male,Deceased,1993
Kevin Trublood ,Public,,Male,Living,
Kevin Wilson ,Secret,Bad,Male,Living,1992
Kezan Val ,Public,Bad,Male,Deceased,1986
KhLTg ,,Bad,,Living,
KhL\u0398G ,,Bad,Agender,Living,1994
Khadar ,No Dual,Neutral,Male,Living,1978
Khafre ,,,Male,Living,2000
Khairi Ngala ,Secret,,Male,Living,1993
Khalf ,Public,Bad,Male,Living,
Khalid Inshallah ,Public,Good,Male,Living,1989
Khan ,Secret,,Male,Living,2002
Khan ,,Good,Male,Living,1972
Khan ,Secret,Bad,Male,Deceased,1960
Khan ,,Bad,Male,Living,1998
Khan ,Secret,Bad,Male,Deceased,1942
Khanata ,Public,,Male,Living,1978
Khatylis ,,,Male,Living,1995
Khn'nr ,Secret,Neutral,Male,Deceased,2007
Kholdsor ,No Dual,Bad,Male,Living,1989
Khonsah ,,Good,,Living,1978
Khoon ,Secret,Bad,Male,Living,1992
Khor ,Secret,Bad,Male,Living,1941
Khordes ,Public,,Male,Living,1975
Khoryphos ,Secret,Good,Male,Living,1985
Khufor ,Public,Bad,Male,Living,1940
Khult ,,Bad,Male,Living,1994
Khup ,Secret,Good,Male,Living,1981
Khyber ,Secret,,Male,Living,1999
Kiana ,Secret,Neutral,Female,Living,1980
Kid Cassidy ,Secret,Bad,Male,Deceased,1972
Kid Clayton ,Secret,Good,Male,Deceased,2006
Kid Twist ,Secret,Bad,Male,Deceased,2007
Kiden Nixon ,Secret,Neutral,Female,Living,2003
Kierrok ,Secret,Bad,Male,Living,1975
Kika ,Public,Good,Female,Living,2004
Kiko Wei ,,,Male,Living,2001
Kilgore Sentinel ,Secret,Good,,Living,
Kilgore Slaughter ,,,Male,Living,1981
Kill-O-Byte ,Secret,Bad,Male,Living,1994
Killdeer ,Secret,Bad,Male,Living,
Killdozer ,,Bad,Male,Living,1990
Killer ,,Bad,Male,Deceased,1948
Killer ,Public,Bad,,Deceased,1954
Killer Beasts ,Secret,Bad,,Deceased,1943
Killer Brogan ,Public,Bad,Male,Deceased,1942
Killer Casey ,Secret,Bad,Male,Living,1941
Killer Dawson ,Public,Bad,Male,Living,1942
Killer Kole ,Secret,Bad,Male,Deceased,1942
Killer Queen ,Secret,Bad,Female,Living,1993
Killer Shrike ,Secret,Bad,Male,Living,
Killian ,Secret,Bad,Male,Living,2000
Killjoy ,Secret,Bad,Male,Living,1993
Killobyte ,Secret,Bad,Male,Deceased,1994
Killobyte ,Secret,Bad,Male,Living,1994
Killshot ,Secret,Bad,Male,Living,2004
Killspree ,Secret,Neutral,Male,Living,1993
Killyu ,Secret,Bad,Male,Living,2009
Kilmer ,Secret,,Male,Deceased,2000
Kim ,Secret,Good,Male,Living,
Kim Alleyne ,Secret,Good,Female,Living,2003
Kim Gaunt ,Public,Good,Female,Living,1996
Kim Il Sung ,Secret,Bad,Male,Deceased,1986
Kim Lewis ,Secret,Neutral,Female,Living,1948
Kimberly Dee ,Secret,Good,Female,Living,1995
Kimberly Schau ,Secret,,Female,Deceased,1989
Kimberly Vesco ,Public,Good,Female,Living,2005
Kimeiko Ashu ,Public,Bad,Male,Living,1993
Kimora ,,Bad,Male,Living,1996
Kimura ,Public,,Female,Living,2006
Kindra ,,Good,Female,Living,
Kindra Grey ,,,Female,Deceased,2006
King ,Public,Good,Male,Living,1955
King ,Secret,Bad,Male,Deceased,1941
King Bolo ,Public,Good,Male,Living,1940
King Cadaver ,Secret,Bad,Male,Deceased,1974
King Coal ,Secret,Bad,Male,Living,1993
King Cole ,Secret,Bad,Male,Living,1946
King Crocodile ,No Dual,Neutral,Male,Living,1954
King Cycle ,Public,Bad,Male,Living,1973
King Glugwort ,,Good,Male,Living,1986
King Kobra ,Secret,Bad,Male,Living,1961
King Leer ,Public,Bad,Male,Living,1947
King Ra ,Public,Good,Male,Living,1942
King Simian ,Secret,Bad,Male,Living,2006
King Thamos ,Public,Bad,Male,Deceased,1986
King and Queen of Barnyard Valley ,Secret,Good,,Living,1943
King and Queen of Cards ,Secret,Good,,Living,1943
King and Queen of Time ,Public,Good,,Living,1943
King of Castle Island ,Secret,Bad,Male,Deceased,1943
Kingdom ,Secret,Good,Male,Deceased,2013
Kingii ,Secret,Good,Male,Living,2008
Kingmaker ,Secret,Bad,Male,Deceased,2009
Kingmaker ,Secret,Bad,Male,Living,2005
Kingo Sunen ,Public,Good,Male,Living,1977
Kingsize ,Secret,Bad,Male,Living,1990
Kingsley Rice ,Secret,Bad,Male,Living,2011
Kinji Obatu ,Secret,Bad,Male,Deceased,1969
Kinjin ,Secret,Bad,Female,Living,
Kioshi Keishicho ,Secret,Good,Male,Living,2005
Kioto ,Public,Bad,Male,Deceased,1943
Kip Holm ,No Dual,Good,Male,Living,1982
Kirbax the Kraklar ,Secret,Neutral,Male,Living,2013
Kiri Shamara ,No Dual,Good,Male,Living,
Kirigi ,Secret,Bad,Male,Deceased,1981
Kirk Donaghue ,,Bad,Male,Deceased,1987
Kirk Hendrick ,Public,Bad,Male,Living,1941
Kirk Marston ,Public,Bad,Male,Living,1976
Kirov Petrovna ,,Bad,Male,Deceased,1975
Kirren ,Secret,Good,Male,Deceased,
Kirsten McDuffie ,No Dual,Good,Female,Living,2011
Kirstin ,,,Female,Living,1995
Kishi Oramosha ,Secret,Bad,Male,Living,1989
Kiskillilla ,Secret,Bad,Female,Deceased,1992
Kistur ,,,Male,Living,1993
Kitang ,Public,Neutral,Male,Living,1995
Kite ,Secret,Bad,Male,Living,
Kith Nasca ,Secret,Good,Male,Living,1993
Kiwi ,,Good,,Living,1995
Kiwi Black ,Secret,Neutral,Male,Living,2003
Kiyoshi Kurata ,,Good,Male,Living,1992
Kiza ,Public,Good,Female,Deceased,2001
Kkallakku ,Secret,Bad,Male,Living,1991
Kkon ,,,Male,Deceased,1995
Kl'rt ,No Dual,Neutral,Male,Living,1963
Kl'rt ,Secret,Bad,Male,Living,1996
Klaatu ,Public,Bad,,Living,1971
Klagg ,Secret,Bad,Male,Living,1961
Klara ,,Good,,Living,1978
Klara Prast ,Secret,Good,Female,Living,2007
Klara Rasputina ,,,Female,Deceased,2005
Klark ,Secret,Bad,Male,Living,1971
Klaus Fuchs ,Public,Neutral,Male,Living,2010
Klaus Krueger ,,,Male,Living,
Klaus Kruger ,,Bad,Male,Deceased,1965
Klaus Kruptmann ,Public,,Male,Living,
Klaus Voorhees ,Public,Bad,Male,Living,1963
Klaw ,Public,Bad,Male,Deceased,2005
Kleezar ,No Dual,Bad,Male,Deceased,1948
Klobok ,Secret,Bad,Male,Deceased,2011
Klonus ,Secret,Bad,Male,Living,1975
Klug ,Secret,Bad,Male,Deceased,1944
Kluh ,Secret,Bad,Male,Living,2011
Kly'bn ,Secret,Bad,Male,Deceased,2008
Klynn ,,Bad,Male,Living,1998
Klytus ,,Bad,Male,Living,1989
Knave ,,Bad,Male,Living,1984
Knobby ,,Good,,Living,1942
Knorda ,,,Female,Living,1964
Knot ,No Dual,Bad,Male,Deceased,
Knuckles O' Shaugnessy ,Secret,,Male,Living,2009
Knut Caine ,,Bad,Male,Living,1994
Ko Bin Su ,,,Male,Living,1997
Ko-rel ,Secret,Good,Female,Deceased,2007
Koaam ,Public,Good,Male,Deceased,2008
Kobar ,,,Male,Living,1983
Kobe ,Public,,Male,Living,
Kodiak ,Secret,Good,Male,Living,1992
Kodiak Noatak ,Secret,Bad,Male,Living,1986
Koenig ,Public,Good,Male,Living,
Kofi Annan ,No Dual,Neutral,Male,Living,2001
Kofi Whitemane ,Secret,Good,Male,Living,1985
Kogar ,Secret,Bad,Male,Living,1978
Kohbra ,,Bad,Male,Living,1972
Koln ,,Neutral,,Living,1991
Kolomaq ,Public,,,Living,1984
Komba ,Secret,Bad,Male,Living,1942
Kometes ,,Neutral,Male,Deceased,1974
Komodo ,,Bad,Male,Living,1995
Komodo ,Secret,,Male,Living,1995
Kona Lor ,Public,Bad,Female,Living,1993
Kondrati Topolov ,Secret,Neutral,Male,Deceased,1973
Kono Sanada ,Public,Bad,Male,Living,1983
Konrad Fassbinder ,Secret,Bad,Male,Living,1988
Konrad Zaxon ,,Bad,Male,Deceased,1966
Konstantin Rasputin ,,,Male,Deceased,2005
Kor-Konn ,,Bad,Male,Living,1968
Korath ,No Dual,,Male,Deceased,1983
Korath-Thak ,Public,Bad,Male,Deceased,1992
Korda ,,,,Living,2010
Kordazt ,,Bad,Male,Deceased,1978
Korea Katie ,Public,Bad,Female,Living,1953
Korg ,No Dual,Good,Male,Living,1962
Korgo ,,Bad,,Deceased,2009
Korilla ,Secret,Bad,Male,Living,1961
Kormok ,No Dual,Bad,Male,Living,1969
Korr ,,Good,,Deceased,1963
Korr ,Secret,Good,,Living,2010
Korra ,Public,Good,Female,Deceased,2003
Korrek ,Secret,,Male,Living,1973
Korro ,Secret,Good,Male,Living,
Koru Kaviti ,Public,Bad,Male,Living,2010
Korumbu ,Public,Neutral,Male,Living,1961
Korvus Rook'shir ,No Dual,Good,Male,Living,2006
Kosinski ,Public,,Male,Living,1991
Kossi ,,Bad,Female,Living,1986
Kostya Yesenofsky ,,Bad,Male,Living,1997
Koth ,,Good,Male,Living,1983
Koto ,Secret,Bad,,Living,1965
Kottus ,No Dual,Bad,Male,Living,
Koyami Sazaki ,,,Male,Living,2002
Kra ,Public,Bad,Male,Living,
Kraa ,Secret,Bad,Male,Living,1992
Kraa ,Public,Bad,Male,Living,1995
Kraa ,Secret,Bad,Male,Living,1961
Kraawl ,Secret,Bad,Male,Living,1972
Kraggoom ,Secret,Bad,Male,Living,1962
Kraglin ,Secret,Bad,Male,Living,1963
Kragonn ,No Dual,Bad,Male,Living,1974
Kraig ,,Bad,Male,Deceased,1972
Krait ,Secret,Bad,Male,Living,2006
Kraken ,,,Agender,Living,1967
Krakkan ,Secret,Neutral,Male,Living,1999
Krakoa ,Secret,Bad,,Deceased,2010
Krakoa ,Secret,Neutral,,Living,1975
Krakoa ,,Bad,,Deceased,2012
Krakoa II ,Secret,Bad,,Living,2008
Krakoa III ,Secret,Good,Male,Living,2012
Krakoas ,,Bad,,Deceased,
Krakos ,Public,Bad,Male,Living,2007
Kralor ,,,Male,Living,1993
Kram ,Public,Good,Male,Living,2008
Krang ,Secret,Neutral,Male,Living,1963
Krang ,,Bad,Male,Deceased,1996
Krang ,,Bad,Male,Deceased,1960
Krassno Granitsky ,Secret,Good,Male,Living,1998
Krato ,No Dual,Good,Male,Living,1974
Kratos ,No Dual,Good,Male,Living,1968
Krauss and Polly ,Public,Bad,Male,Deceased,1942
Kravo ,No Dual,,Male,Living,2006
Krawskin ,Secret,Neutral,Male,Deceased,2012
Kray-Tor ,Public,,Male,Deceased,1975
Kre'shje ,Public,Good,Male,Living,
Kreddik ,Public,Neutral,Male,Living,2000
Kree Sentry,Public,Neutral,,Living,
Kree-Tor ,,Neutral,Male,Living,1997
Kreigkopf ,Public,Bad,Male,Deceased,2001
Kren ,Public,Neutral,Female,Living,2009
Kreutzmann ,Public,,Male,Living,1990
Krieghund ,,Bad,Male,Living,1975
Krimonn ,Secret,Bad,Male,Living,1969
Kris Keating ,Public,Good,Male,Deceased,1977
Kriss Lout ,Public,Bad,Male,Living,1943
Krista ,No Dual,Good,Female,Living,1973
Krista Marwan ,No Dual,Good,Female,Living,
Kristal van Helden ,Secret,Bad,Female,Deceased,2003
Kristian ,No Dual,Neutral,Male,Deceased,
Kristina Anderson ,Secret,Bad,Female,Living,1990
Kristine Calverly ,Secret,Bad,Female,Living,1996
Kristine Saunders ,,Good,Female,Living,1973
Kristine Watson ,No Dual,Good,Female,Living,1988
Kristoff Vernard ,Secret,Good,Male,Living,1982
Kro ,Secret,Bad,Male,Living,1940
Krobat ,No Dual,Good,Male,Living,
Kroda ,Public,Bad,Male,Living,1965
Krodar ,Public,,Male,Living,1977
Krogg ,Secret,Bad,Male,Living,1973
Krollar ,,Bad,Male,Deceased,1978
Kronak ,,Good,,Living,1978
Kronak ,Public,Bad,Male,Living,1976
Kronaster Sintariis ,Public,Bad,Male,Living,2000
Kronin Krask ,Public,Bad,Male,Living,1970
Kronos ,Secret,Good,Male,Living,1973
Kronus ,Secret,Bad,Male,Living,1970
Krosakis ,Public,Bad,Male,Living,2006
Krowtanem ,,Bad,Male,Living,1974
Kru ,No Dual,Neutral,,Living,1939
Krueger ,Secret,Bad,Male,Living,2000
Kruggar ,No Dual,Neutral,Male,Living,1992
Krunch ,Secret,,Female,Living,1994
Krush ,Public,Neutral,Male,Living,1995
Kruun ,,Bad,Male,Living,2007
Krylar ,Public,Bad,Male,Deceased,1972
Kryllk ,,Bad,Male,Living,1973
Krystal ,No Dual,Neutral,Female,Living,
Krystar ,Public,,Male,Living,1971
Ksa ,Public,Good,,Deceased,1954
Ksa ,Secret,Bad,Male,Living,1993
Ksenia Nadejda Panov ,Secret,Neutral,Female,Deceased,2013
Kthara ,Secret,Bad,Female,Living,1975
Kuan-Yin Xorn ,Secret,Bad,Male,Deceased,2001
Kubark ,Public,Good,Male,Living,2011
Kubik ,Secret,Neutral,,Living,1988
Kuhomai ,Public,Bad,Male,Deceased,1943
Kuhrra Daizonest ,,Bad,Male,Deceased,2008
Kuhul Ajaw ,,Bad,Male,Living,2008
Kukulkan ,,Bad,Male,Living,1966
Kulan Gath ,No Dual,Bad,Male,Living,1972
Kull ,Public,Good,Male,Living,1970
Kulla ,Public,Bad,Male,Living,1963
Kulto ,Public,Neutral,Male,Living,1949
Kur ,,Bad,Male,Living,1977
Kura ,Public,Neutral,Female,Living,1985
Kuragari ,Secret,Bad,Male,Living,1997
Kurani ,Public,,,Living,2007
Kuro Chin ,Secret,Good,Male,Deceased,1967
Kurod Ormaon ,Secret,Bad,Male,Living,2011
Kuroyama ,,Bad,Male,Living,1998
Kurr'fri ,Public,,Male,Living,1978
Kurrgo ,,Bad,Male,Living,1962
Kurrgo's Robot ,Secret,,,Living,1962
Kurt Duryea ,,,Male,Living,2006
Kurt Geinstach ,Public,,Male,Deceased,1993
Kurt Gerhardt ,Secret,Bad,Male,Living,1990
Kurt Hausner ,Secret,Bad,Male,Deceased,1942
Kurt Klemmer ,,Bad,Male,Living,1977
Kurt Marko ,Public,Neutral,Male,Deceased,1965
Kurt Mueller ,Secret,Bad,Male,Deceased,1941
Kurt Schnell ,Public,Bad,Male,Deceased,1943
Kurt Wagner ,Secret,Good,Male,Living,1975
Kurt Weidner ,Public,Bad,Male,Living,1942
Kuryestan ,,Bad,Male,Living,1990
Kusek ,No Dual,Neutral,Male,Living,2000
Kusoom ,,Bad,,Living,1962
Kuthulos ,Public,,Male,Living,1971
Kuu ,Public,Bad,Male,Living,1940
Kuurth ,Secret,Bad,Male,Living,2011
Kuyuk ,Secret,Bad,Male,Deceased,2005
Kwai Jun-Fan ,,Good,Male,Deceased,2008
Kwai Jun-Fau ,,Good,Male,Living,2007
Kwaku Anansi ,No Dual,Good,Male,Living,1988
Kwan Tai-Fung ,Public,Good,Female,Living,1984
Kwan Zhao ,Secret,,Male,Deceased,1989
Kwate ,Secret,Good,Male,Living,2002
Kwill ,Secret,,Male,Deceased,1985
Kx'ulthuum ,,Bad,,Living,
Kyi ,Secret,Bad,Male,Living,1995
Kyknos ,Public,Bad,Male,Deceased,2008
Kyle Arneson ,,,Male,Living,1986
Kyle Barker ,Public,Bad,Male,Living,1996
Kyle Brock ,Secret,Good,Male,Living,1988
Kyle Dyne ,,Good,Male,Living,2009
Kyle Gibney ,Secret,Neutral,Male,Deceased,1983
Kyle Hatcher ,,,Male,Living,
Kyle Jacoby ,,Good,Male,Living,2001
Kyle Jinadu ,Public,Good,Male,Living,2009
Kyle Richmond ,Secret,Good,Male,Living,1969
Kyle Richmond ,Secret,Bad,Male,Deceased,2011
Kylie Kopelkin ,,Bad,Female,Living,1997
Kyllian Boddicker ,,,Male,Living,1993
Kylor ,Public,,Male,Living,1987
Kylus ,,,Male,Living,1984
Kym ,Public,,Female,Living,1989
Kymberly Taylor ,,Good,Female,Living,1996
Kyral ,No Dual,Good,Male,Living,1991
Kyrie ,Secret,,Female,Living,1982
Kyte ,Secret,Bad,Female,Living,2010
Kyzerra Os ,Secret,Neutral,Female,Living,2013
L'Deroh ,,,Male,Living,1994
L'Empereur du Monde Souterrain ,Secret,Neutral,Male,Living,2007
L'Matto ,Secret,Bad,Male,Living,1992
L'ai Sau ,Public,,Male,Living,1989
L.D. 50 ,Secret,Bad,Male,Living,1990
La ,,,Female,Living,1983
La Lumi\u00e8re Bleue ,Secret,Good,Male,Living,2007
LaFronce Bennett ,No Dual,Good,Male,Living,2001
LaHoya Scripps ,Secret,Good,Female,Living,1991
LaVoisin ,Secret,,Female,Living,1994
Lachlan Carroll ,,Bad,Male,Living,1993
Lachlan Patterson ,Secret,,Male,Living,2000
Lady Chi ,,Bad,Female,Living,2005
Lady Elizabeth Braddock ,No Dual,Good,Female,Deceased,1977
Lady Gorgon ,Secret,Bad,Female,Deceased,2010
Lady Lotus ,Secret,Bad,Female,Living,1979
Lady Shadra ,Secret,Good,Female,Living,2008
Lady Stilt-Man ,Secret,Bad,Female,Living,2010
Lady Trident ,Secret,Bad,Female,Living,1994
Lady Vermin ,,Good,Female,Living,1997
Lady of Ten Suns ,Secret,Good,Female,Living,2009
Ladyfair ,Secret,Good,Female,Deceased,2007
Lagaro ,Secret,Good,Male,Deceased,1940
Laios ,No Dual,Bad,Male,Living,1985
Lalei ,Public,Good,Female,Living,1954
Laline Ortega ,Public,Good,Female,Living,2005
Lamar Cransfield ,Secret,Good,Male,Living,
Lamar Plotnick ,Secret,,Male,Living,1988
Lambda-Zero ,Secret,Neutral,Female,Deceased,2005
Lambert ,No Dual,Good,Male,Living,1975
Lament ,Secret,Bad,Female,Deceased,2000
Lamia ,No Dual,Bad,Female,Living,2010
Lamia ,Secret,Bad,Female,Living,1994
Lamilm Gor ,No Dual,,Male,Living,1976
Lamprey ,,,Male,Living,2004
Lan ,Public,Good,Male,Living,2000
Lana Love ,Public,Good,Female,Living,1942
Lancaster Sneed ,Secret,Bad,Male,Living,1976
Lance Bannon ,Public,Good,Male,Deceased,1980
Lance Gwynn ,,Bad,Male,Living,1997
Lance Hunter ,No Dual,Good,Male,Living,1977
Lance Johnson ,Public,Neutral,Male,Living,1941
Lance Temple ,Secret,Good,Male,Deceased,1954
Lance Temple ,Secret,Good,Male,Living,1951
Lancelot ,Public,,Male,Living,1976
Lancelot Steele ,Public,Good,Male,Living,1981
Landa ,,,Female,Living,1992
Landar ,,Good,Male,Living,1996
Landra ,Public,Good,Female,Living,1981
Landscape ,Secret,,Male,Living,1997
Landslide ,Secret,Bad,Male,Living,
Lanette Raye ,Public,Good,Female,Living,
Langley Saint-Margaret ,,,Female,Living,2006
Lani Ubanu ,Secret,Bad,Female,Living,1969
Lanie ,Secret,Good,Female,Living,2011
Lao-Chung ,Public,Good,Male,Living,1945
Lar-Ka ,Public,Neutral,Male,Deceased,2006
Lara King ,Public,Neutral,Female,Living,2004
Lara Wilkinson ,No Dual,Neutral,Female,Living,2009
Laralei,,,Female,Living,1977
Laralei ,Public,Neutral,Female,Living,1977
Lariat ,Secret,,Male,Living,2004
Larisa Mishchenko ,No Dual,Neutral,Female,Deceased,2005
Larissa ,,Bad,Female,Deceased,1994
Laroximous Boneflayer ,,Neutral,Male,Living,2010
Larrs ,Public,Neutral,,Living,1989
Larry Arnold ,Public,Good,Male,Living,1994
Larry Batten ,Public,Bad,Male,Living,1946
Larry Bodine ,,Neutral,Male,Deceased,1986
Larry Carpenter ,Public,Neutral,Male,Deceased,1987
Larry Curtiss ,Secret,Bad,Male,Living,1991
Larry Ekler ,Secret,Bad,Male,Living,1982
Larry King ,Public,,Male,Living,2006
Larry Pitts ,Secret,Good,Male,Deceased,2003
Larry Scott ,Secret,Good,Male,Living,1941
Larry Wagner ,,Good,Male,Deceased,1972
Lars Branco ,Public,Bad,Male,Living,2005
Lars Dinkelbach ,Secret,Good,Male,Living,1993
Lars Hanson ,Secret,Bad,Male,Living,2007
Lars Krool ,Public,Bad,Male,Deceased,1944
Lasco Vicenti ,Secret,Bad,Male,Living,1945
Laserworks ,Secret,Bad,Male,Living,1994
Lash ,Secret,Bad,Male,Living,
Lash Larribee ,Public,Bad,Male,Deceased,1948
Lasher ,Secret,Bad,Male,Living,1996
Lasher ,Secret,Neutral,Agender,Living,1993
Lasher ,Public,Good,Female,Living,2012
Laslo Magzel ,Secret,Bad,Male,Deceased,1995
Laslo Pevely ,Secret,Good,Male,Living,1941
Latisha Arnold ,Public,Bad,Male,Living,1994
Latonya Jefferson ,Secret,Good,Female,Deceased,2006
Lau ,,Bad,Male,Living,2000
Laufey ,No Dual,Bad,Male,Deceased,1965
Laughing Boy ,Secret,Bad,Male,Living,1947
Laura ,,,Female,Living,1968
Laura ,Public,Neutral,Female,Living,1995
Laura Broadbahr ,Secret,,Female,Living,2002
